scenario_name,mode,selected_plot,time,soil_BAU,soil_Land_1,soil_Land_2,soil_Land_3,prod_Baseline_total,prod_Land_1,prod_Land_2,prod_Land_3,prod_Scenario_total,pop_Baseline,pop_Scenario,cal_demand_Baseline,cal_demand_Scenario,ssr_Baseline,ssr_Scenario,inc_Baseline,inc_Scenario,deg_Baseline,deg_Land_1,deg_Land_2,deg_Land_3,deg_Scenario_total_areaweighted,emis_Baseline_total,emis_Scenario_total,infl_Inflation,lambda_t,palma_Baseline,palma_Scenario,gini_Baseline,gini_Scenario,food_price_Baseline,food_price_Scenario,food_sec_Baseline,food_sec_Scenario,inc_pdf_Income_PDF
Scenario 2,all_plots,inc,0,0.8,0.8,0.8,0.8,24455316.19961338,8151773.6968922075,8878872.437235352,8878872.437235352,25909518.57136291,5000000,5000000,3500000000000,3500000000000,178.6089005914725,188.45115886290392,36203.15,36203.15,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1,0.00007786169,1.1815356296129926,1.1815356296129926,0.32153546695883606,0.32153546695883606,3359.2950743947777,3183.8488212030215,18.66124220283922,17.686619565683156,1e-12
Scenario 2,all_plots,inc,0.010002000400080016,0.8000800039985329,0.8000800039985329,0.7998839515548584,0.7998839515548584,24457761.853465073,8152588.915005814,8877584.46305916,8877584.46305916,25907757.841124136,5001000.300086691,5001000.300086691,3500700210060.6836,3500700210060.6836,178.57317523893806,188.41346486185694,36204.960564876725,36204.960564876725,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.0001700484634024,0.00007786169,1.1814897643839273,1.1814897643839273,0.32152812950044257,0.32152812950044257,3359.3958749191142,3183.9443572078912,18.660428809165253,17.685848653205188,
Scenario 2,all_plots,inc,0.020004000800160033,0.8001599839882665,0.8001599839882665,0.7997678526271005,0.7997678526271005,24460206.773388293,8153403.88847655,8876295.928597083,8876295.928597083,25905995.745670713,5002000.800293434,5002000.800293434,3501400560205.4043,3501400560205.4043,178.53745703218866,188.37577840036403,36206.77122030206,36206.77122030206,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.000340125843285,0.00007786169,1.1814439021671346,1.1814439021671346,0.32152079217536594,0.32152079217536594,3359.4966784681174,3184.039896079458,18.659615468984654,17.68507779142678,
Scenario 2,all_plots,inc,0.03000600120024005,0.8002399399700098,0.8002399399700098,0.7996517032143228,0.7996517032143228,24462650.95940777,8154218.617312654,8875006.833822442,8875006.833822442,25904232.284957536,5003001.500660268,5003001.500660268,3502101050462.1875,3502101050462.1875,178.50174596979502,188.33809947691722,36208.581966280544,36208.581966280544,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.0005102321445642,0.00007786169,1.1813980429623672,1.1813980429623672,0.32151345498360573,0.32151345498360573,3359.5974850418784,3184.135437817807,18.65880218229257,17.684306980343333,
Scenario 2,all_plots,inc,0.040008001600320066,0.8003198719445768,0.8003198719445768,0.7995355033141459,0.799535503314146,24465094.41154839,8155033.101522424,8873717.17870883,8873717.17870883,25902467.45894009,5004002.401227233,5004002.401227233,3502801680859.063,3502801680859.063,178.46604205032816,188.30042809000875,36210.3928028167,36210.3928028167,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.000680367372159,0.00007786169,1.181352186769364,1.181352186769364,0.32150611792516315,0.32150611792516315,3359.6982946404855,3184.230982423024,18.65798894908418,17.68353621995029,
Scenario 2,all_plots,inc,0.05001000200040008,0.8003997799127875,0.8003997799127875,0.7994192529242152,0.7994192529242153,24467537.129835222,8155847.341114216,8872426.963230113,8872426.963230114,25900701.26757444,5005003.502034384,5005003.502034384,3503502451424.069,3503502451424.069,178.43034527235926,188.2627642381311,36212.20372991506,36212.20372991506,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.0008505315309877,0.00007786169,1.1813063335878706,1.1813063335878706,0.3214987810000368,0.3214987810000368,3359.7991072640316,3184.326529895197,18.65717576935468,17.682765510243087,
Scenario 2,all_plots,inc,0.0600120024004801,0.8004796638754672,0.8004796638754672,0.7993029520422004,0.7993029520422005,24469979.114293482,8156661.336096436,8871136.187360428,8871136.18736043,25898933.710817292,5006004.803121779,5006004.803121779,3504203362185.2456,3504203362185.2456,178.39465563445998,188.22510791977714,36214.01474758015,36214.01474758015,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.0010207246259701,0.00007786169,1.1812604834176443,1.1812604834176443,0.321491444208228,0.321491444208228,3359.899922912606,3184.42208023441,18.656362643099232,17.681994851217148,
Scenario 2,all_plots,inc,0.07001400280056011,0.8005595238334466,0.8005595238334466,0.7991866006657958,0.7991866006657957,24472420.36494858,8157475.08647755,8869844.851074189,8869844.851074187,25897164.788625926,5007006.304529487,5007006.304529487,3504904413170.641,3504904413170.641,178.35897313520212,188.18745913344006,36215.82585581651,36215.82585581651,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.0011909466620268,0.00007786169,1.181214636258421,1.181214636258421,0.3214841075497362,0.3214841075497362,3360.000741586301,3184.5176334407493,18.65554957031302,17.681224242867895,
Scenario 2,all_plots,inc,0.08001600320064013,0.8006393597875622,0.8006393597875622,0.7990701987927203,0.7990701987927201,24474860.88182607,8158288.592266082,8868552.954346072,8868552.954346068,25895394.500958223,5008008.006297585,5008008.006297585,3505605604408.309,3505605604408.309,178.32329777315778,188.14981787761326,36217.637054628656,36217.637054628656,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.001361197644079,0.00007786169,1.181168792109953,1.181168792109953,0.32147677102456185,0.32147677102456185,3360.1015632852072,3184.6131895143017,18.654736550991235,17.68045368519077,
Scenario 2,all_plots,inc,0.09001800360072015,0.8007191717386556,0.8007191717386556,0.7989537464207174,0.7989537464207171,24477300.66495169,8159101.853470608,8867260.497151036,8867260.497151036,25893622.84777268,5009009.908466155,5009009.908466155,3506306935926.308,3506306935926.308,178.28762954689944,188.11218415079054,36219.44834402112,36219.44834402112,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.0015314775770494,0.00007786169,1.1811229509719845,1.1811229509719845,0.3214694346327045,0.3214694346327045,3360.2023880094134,3184.7087484551516,18.653923585129032,17.6796831781812,
Scenario 2,all_plots,inc,0.10002000400080016,0.8007989596875742,0.8007989596875742,0.798837243547555,0.7988372435475548,24479739.714351345,8159914.870099762,8865967.479464311,8865967.47946431,25891849.829028383,5010012.01107529,5010012.01107529,3507008407752.703,3507008407752.703,178.25196845499974,188.07455795146586,36221.25972399844,36221.25972399844,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.0017017864658606,0.00007786169,1.181077112844269,1.181077112844269,0.3214620983741644,0.3214620983741644,3360.303215759013,3184.804310263387,18.65311067272162,17.678912721834624,
Scenario 2,all_plots,inc,0.11002200440088018,0.8008787236351709,0.8008787236351709,0.798720690171026,0.7987206901710258,24482178.0300511,8160727.642162236,8864673.901261399,8864673.901261397,25890075.44468503,5011014.31416509,5011014.31416509,3507710019915.563,3507710019915.563,178.2163144960317,188.03693927813367,36223.07119456514,36223.07119456514,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.0018721243154367,0.00007786169,1.1810312777265433,1.1810312777265433,0.32145476224894226,0.32145476224894226,3360.4040465340945,3184.899874939093,18.65229781376416,17.678142316146467,
Scenario 2,all_plots,inc,0.1200240048009602,0.8009584635823038,0.8009584635823038,0.7986040862889475,0.7986040862889474,24484615.612077195,8161540.169666773,8863379.762518073,8863379.762518073,25888299.694702916,5012016.817775664,5012016.817775664,3508411772442.965,3508411772442.965,178.18066766856862,187.99932812928856,36224.882755725754,36224.882755725754,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.0020424911307022,0.00007786169,1.1809854456185622,1.1809854456185622,0.3214474262570376,0.3214474262570376,3360.50488033475,3184.995442482356,18.651485008251836,17.677371961112158,
Scenario 2,all_plots,inc,0.1300260052010402,0.8010381795298367,0.8010381795298367,0.7984874318991617,0.7984874318991617,24487052.460456032,8162352.452622175,8862085.063210383,8862085.063210383,25886522.57904294,5013019.521947128,5013019.521947128,3509113665362.9893,3509113665362.9893,178.145027971184,187.96172450342547,36226.69440748481,36226.69440748481,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.002212886916583,0.00007786169,1.1809396165200674,1.1809396165200674,0.32144009039845056,0.32144009039845056,3360.60571716107,3185.0910128932614,18.650672256179842,17.676601656727147,
Scenario 2,all_plots,inc,0.14002800560112022,0.801117871478639,0.801117871478639,0.7983707269995353,0.7983707269995354,24489488.57521419,8163164.491037301,8860789.803314654,8860789.803314654,25884744.097666606,5014022.426719605,5014022.426719605,3509815698703.7236,3509815698703.7236,178.10939540245167,187.9241283990397,36228.506149846835,36228.506149846835,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.0023833116780052,0.00007786169,1.1808937904308119,1.1808937904308119,0.32143275467318083,0.32143275467318083,3360.706557013146,3185.1865861718966,18.649859557543355,17.67583140298687,
Scenario 2,all_plots,inc,0.15003000600120026,0.8011975394295852,0.8011975394295852,0.7982539715879596,0.7982539715879597,24491923.956378393,8163976.28492106,8859493.982807484,8859493.982807484,25882964.25053603,5015025.532133228,5015025.532133228,3510517872493.26,3510517872493.26,178.07376996094584,187.8865398146268,36230.31798281637,36230.31798281637,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.0025537654198964,0.00007786169,1.1808479673505385,1.1808479673505385,0.3214254190812293,0.3214254190812293,3360.8073998910663,3185.2821623183454,18.64904691233755,17.675061199886738,
Scenario 2,all_plots,inc,0.16003200640128026,0.8012771833835557,0.8012771833835557,0.798137165662351,0.798137165662351,24494358.60397556,8164787.834282427,8858197.601665743,8858197.601665743,25881183.037613913,5016028.838228138,5016028.838228138,3511220186759.697,3511220186759.697,178.03815164524082,187.84895874868258,36232.12990639794,36232.12990639794,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.0027242481471843,0.00007786169,1.1808021472789958,1.1808021472789958,0.32141808362259516,0.32141808362259516,3360.9082457949257,3185.3777413326957,18.648234320557634,17.67429104742221,
Scenario 2,all_plots,inc,0.17003400680136027,0.801356803341436,0.801356803341436,0.7980203092206504,0.7980203092206503,24496792.518032767,8165599.139130423,8856900.65986658,8856900.659866579,25879400.458863582,5017032.3450444825,5017032.3450444825,3511922641531.1377,3511922641531.1377,178.0025404539114,187.8113851997032,36233.94192059607,36233.94192059607,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.0028947598647981,0.00007786169,1.1807563302159325,1.1807563302159325,0.32141074829727967,0.32141074829727967,3361.009094724811,3185.4733232150334,18.64742178219876,17.673520945588702,
Scenario 2,all_plots,inc,0.1800360072014403,0.8014363993041175,0.8014363993041175,0.7979034022608233,0.7979034022608231,24499225.69857725,8166410.199474131,8855603.15738742,8855603.157387417,25877616.514248967,5018036.052622418,5018036.052622418,3512625236835.6924,3512625236835.6924,177.9669363855325,187.7738191661852,36235.75402541531,36235.75402541531,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.0030653005776673,0.00007786169,1.18071051616109,1.18071051616109,0.3214034131052814,0.3214034131052814,3361.109946680816,3185.568907965444,18.646609297256134,17.67275089438167,
Scenario 2,all_plots,inc,0.19003800760152031,0.8015159712724964,0.8015159712724964,0.7977864447808607,0.7977864447808604,24501658.145636417,8167221.0153226815,8854305.094205959,8854305.094205955,25875831.20373459,5019039.961002109,5019039.961002109,3513327972701.476,3513327972701.476,177.9313394386794,187.73626064662525,36237.56622086018,36237.56622086018,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.003235870290723,0.00007786169,1.1806647051142247,1.1806647051142247,0.3213960780466015,0.3213960780466015,3361.2108016630295,3185.664495584013,18.64579686572493,17.67198089379653,
Scenario 2,all_plots,inc,0.20004000800160032,0.8015955192474752,0.8015955192474752,0.7976694367787777,0.7976694367787774,24504089.859237846,8168031.586685273,8853006.47030017,8853006.470300168,25874044.52728561,5020044.070223727,5020044.070223727,3514030849156.609,3514030849156.609,177.8957496119277,187.69870963952044,36239.37850693521,36239.37850693521,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.003406469008896,0.00007786169,1.1806188970750764,1.1806188970750764,0.3213887431212399,0.3213887431212399,3361.311659671543,3185.760086070828,18.64498448760035,17.67121094382875,
Scenario 2,all_plots,inc,0.21004200840168036,0.8016750432299611,0.8016750432299611,0.7975523782526146,0.7975523782526145,24506520.83940928,8168841.913571149,8851707.285648303,8851707.285648303,25872256.48486775,5021048.380327455,5021048.380327455,3514733866229.2183,3514733866229.2183,177.8601669038531,187.66116614336806,36241.19088364494,36241.19088364494,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.0035770967371191,0.00007786169,1.1805730920433952,1.1805730920433952,0.3213814083291967,0.3213814083291967,3361.4125207064485,3185.8556794259744,18.64417216287757,17.67044104447374,
Scenario 2,all_plots,inc,0.22004400880176037,0.8017545432208671,0.8017545432208671,0.7974352692004367,0.7974352692004367,24508951.086178623,8169651.995989613,8850407.540228888,8850407.540228888,25870467.07644739,5022052.891353479,5022052.891353479,3515437023947.435,3515437023947.435,177.82459131303187,187.6236301566659,36243.003350993895,36243.003350993895,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.003747753480325,0.00007786169,1.1805272900189232,1.1805272900189232,0.32137407367047205,0.32137407367047205,3361.5133847678358,3185.951275649538,18.643359891551782,17.669671195726945,
Scenario 2,all_plots,inc,0.23004600920184037,0.8018340192211117,0.8018340192211117,0.797318109620334,0.797318109620334,24511380.59957395,8170461.833950024,8849107.234020723,8849107.234020723,25868676.30199147,5023057.603341996,5023057.603341996,3516140322339.397,3516140322339.397,177.78902283804038,187.58610167791184,36244.81590898662,36244.81590898662,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.0039184392434481,0.00007786169,1.1804814910014167,1.1804814910014167,0.3213667391450653,0.3213667391450653,3361.6142518557945,3186.046874741604,18.642547673618157,17.668901397583806,
Scenario 2,all_plots,inc,0.2400480096019204,0.8019134712316188,0.8019134712316188,0.7972008995104215,0.7972008995104215,24513809.379623506,8171271.427461795,8847806.367002888,8847806.367002888,25866884.161467567,5024062.516333211,5024062.516333211,3516843761433.248,3516843761433.248,177.75346147745526,187.54858070560408,36246.628557627635,36246.628557627635,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.0040891540314227,0.00007786169,1.1804356949906163,1.1804356949906163,0.32135940475297703,0.32135940475297703,3361.715121970418,3186.1424767022622,18.641735509071907,17.668131650039776,
Scenario 2,all_plots,inc,0.2500500100020004,0.8019928992533176,0.8019928992533176,0.7970836388688392,0.7970836388688392,24516237.426355697,8172080.776534394,8846504.93915474,8846504.93915474,25865090.654843874,5025067.630367337,5025067.630367337,3517547341257.1357,3517547341257.1357,177.71790722985358,187.5110672382413,36248.441296921475,36248.441296921475,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.0042598978491848,0.00007786169,1.180389901986271,1.180389901986271,0.3213520704942077,0.3213520704942077,3361.815995111794,3186.238081531594,18.640923397908214,17.667361953090282,
Scenario 2,all_plots,inc,0.2600520104020804,0.8020723032871429,0.8020723032871429,0.7969663276937519,0.7969663276937519,24518664.7397991,8172889.881177349,8845202.950455913,8845202.950455913,25863295.782089174,5026072.945484594,5026072.945484594,3518251061839.2163,3518251061839.2163,177.69924317288627,187.46031958478508,36250.254126872685,36250.254126872685,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.0044306707016708,0.00007786169,1.1803441119881335,1.1803441119881335,0.3213447363687567,0.3213447363687567,3361.5974579422677,3186.558763216376,18.638340356362956,17.667840226989433,
Scenario 2,all_plots,inc,0.27005401080216046,0.8021516833340347,0.8021516833340347,0.7968489659833495,0.7968489659833494,24521091.31998245,8173698.741400238,8843900.400886316,8843900.400886314,25861499.543172866,5027078.461725359,5027078.461725359,3518954923207.751,3518954923207.751,177.6093296378955,187.38582665286998,36252.06704748579,36252.06704748579,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.004601472593831,0.00007786169,1.1802983249959424,1.1802983249959424,0.32133740237662445,0.32133740237662445,3362.727417537313,3187.2835478116262,18.643233787512177,17.670558731299263,
Scenario 2,all_plots,inc,0.28005601120224044,0.8022310393949389,0.8022310393949389,0.7967315537358473,0.796731553735847,24523517.16693466,8174507.357212698,8842597.290426137,8842597.290426135,25859701.93806497,5028084.179130068,5028084.179130068,3519658925391.048,3519658925391.048,177.44822088822772,187.28760653157414,36253.88005876533,36253.88005876533,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.0047723035306217,0.00007786169,1.1802525410094507,1.1802525410094507,0.32133006851781104,0.32133006851781104,3365.208255781324,3188.412885217264,18.655615245743892,17.67551946569653,
Scenario 2,all_plots,inc,0.2900580116023205,0.8023103714708062,0.8023103714708062,0.796614090949485,0.7966140909494847,24525942.280684795,8175315.7286244165,8841293.619055847,8841293.619055843,25857902.966736108,5029090.097738954,5029090.097738954,3520363068417.268,3520363068417.268,177.21597043647841,187.1656770597337,36255.69316071583,36255.69316071583,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.0049431635169805,0.00007786169,1.1802067600284032,1.1802067600284032,0.32132273479231654,0.32132273479231654,3369.045629599766,3189.9475377836056,18.675514436268887,17.682726161205284,
Scenario 2,all_plots,inc,0.3000600120024005,0.8023896795625932,0.8023896795625932,0.7964965776225277,0.7964965776225275,24528366.66126209,8176123.855645142,8839989.386756185,8839989.386756184,25856102.629157513,5030096.217592258,5030096.217592258,3521067352314.5806,3521067352314.5806,176.9126298126861,187.02005541533572,36257.50635334184,36257.50635334184,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.0051140525578464,0.00007786169,1.1801609820525485,1.1801609820525485,0.3213154012001406,0.3213154012001406,3374.248528075489,3191.8885887276347,18.70297952503161,17.692184326210196,
Scenario 2,all_plots,inc,0.3100620124024805,0.8024689636712617,0.8024689636712617,0.7963790137532657,0.7963790137532655,24530790.30869596,8176931.738284674,8838684.593508178,8838684.593508177,25854300.92530103,5031102.538730226,5031102.538730226,3521771777111.1587,3521771777111.1587,176.53824886823085,186.85075821681713,36259.31963664789,36259.31963664789,0.19999999999999996,0.19999999999999996,0.3225,0.3225,0.2816666666666666,896000,895999.9999999998,1.0052849706581586,0.00007786169,1.180115207081632,1.180115207081632,0.32130806774128423,0.32130806774128423,3380.8293209971166,3194.2374424760724,18.73807740099573,17.70390124770405,
